Date,Month_Name,Month_Num,Customer_ID,Customer Name,Visit Type,Common_Value,Configuration,Location,Tower,Project Name,Parent Source,Lead Mode,Sourcing Manager,Closing Manger,Ethnicity,Age Group,Property Type,Married Status,Annual Income,No. of Children,Customer_ID2,Budget for property upto,Home owner,Purpose,Potential
10/25/2025,Oct,10,1031,SHAAN DASS,2nd Time,1,{2bhk},Marine Lines,C,Crescent,Direct,Direct,Jhanvi Madan,Ishaan Balay,Marwardi,36-45,Under Construction,Yes,25L-50L,4,1031,"₹ 15,000,000.00",1st Time,Investment,0
10/18/2025,Oct,10,1032,kismat garg,Fresh,1,{2bhk},Malad,C,Crescent,Direct,Direct,Sana Sarin,Urvi Wason,Gujarati,46-60,Under Construction,No,50L-75L,4,1032,"₹ 15,000,000.00",2nd Time,Investment,0
8/8/2025,Aug,8,1033,RENEE BUTALA,Fresh,1,{2bhk},Kandivali,A,Vasudha,Direct,Direct,Neysa Mallick,Divyansh Ramachandran,Hindu,36-45,Under Construction,Yes,25L-50L,2,1033,"₹ 15,000,000.00",2nd Time,Self use,1
11/15/2025,Nov,11,1034,RASHA RATTA,Fresh,1,{1bhk},Kandivali,C,Crescent,Channel Partner,Union Realty Group,Fateh Handa,Shray Amble,Gujarati,36-45,Ready To Move,Yes,0-25L,3,1034,"₹ 10,000,000.00",2nd Time,Self use,0
11/21/2025,Nov,11,1035,KEYA SHUKLA,Fresh,1,{2bhk},Andheri,D,Triangle,Direct,Direct,Shray Rajagopalan,Indranil Rau,Marwardi,25-35,Under Construction,Yes,0-25L,0,1035,"₹ 15,000,000.00",2nd Time,Self use,0
5/24/2025,May,5,1036,ritvik ahluwalia,Fresh,1,{1bhk},Goregaon,C,Crescent,Channel Partner,Crystal Builders,Jhanvi Madan,Vritika Bhakta,Marwardi,36-45,Under Construction,Yes,0-25L,4,1036,"₹ 10,000,000.00",2nd Time,Investment,0
12/18/2025,Dec,12,1037,PRIYANSH SARAF,2nd Time,1,{1bhk},Sewri,A,Crescent,Channel Partner,PrimeAxis Developments,Ayesha Date,Divit Sastry,Gujarati,46-60,Ready To Move,Yes,75L-1Cr,3,1037,"₹ 10,000,000.00",2nd Time,Self use,0
4/11/2025,Apr,4,1038,KASHVI MAHARAJ,Fresh,1,{4bhk},Kandivali,B,Crescent,Channel Partner,Element Real Estate,Shray Rajagopalan,Vritika Bhakta,Jain,25-35,Ready To Move,Yes,25L-50L,0,1038,"₹ 15,000,000.00",1st Time,Investment,0
4/16/2025,Apr,4,1039,vritika sha,Fresh,1,{1bhk},Borivali,C,Vallia,Channel Partner,BrightStar Realty,Mehul Rajagopalan,Divit Sastry,Gujarati,36-45,Under Construction,No,0-25L,2,1039,"₹ 10,000,000.00",1st Time,Self use,0
10/29/2025,Oct,10,1040,dhruv jayaraman,Fresh,1,{4bhk},Kandivali,B,Triangle,Channel Partner,Crescent Realty,Mehul Rajagopalan,Urvi Wason,Gujarati,25-35,Ready To Move,Yes,0-25L,2,1040,"₹ 15,000,000.00",2nd Time,Self use,1
3/6/2025,Mar,3,1041,romil sanghvi,2nd Time,1,{1bhk},Versova,C,Woods,Channel Partner,Phoenix Realty,Adira Tank,Hansh Srivastava,Marwardi,25-35,Under Construction,No,75L-1Cr,0,1041,"₹ 10,000,000.00",2nd Time,Investment,0
7/16/2025,Jul,7,1042,SAMARTH HANS,2nd Time,1,{1bhk},Colaba,B,Crescent,Channel Partner,NewWave Estates,Vidur Srinivasan,Ishaan Balay,Gujarati,46-60,Under Construction,Yes,75L-1Cr,4,1042,"₹ 10,000,000.00",1st Time,Investment,0
5/13/2025,May,5,1043,nehmat loke,Fresh,1,{2bhk},Kandivali,A,Woods,Channel Partner,MapleLeaf Realty,Jhanvi Madan,Ishaan Balay,Gujarati,36-45,Under Construction,No,25L-50L,4,1043,"₹ 15,000,000.00",2nd Time,Self use,1
11/1/2025,Nov,11,1044,sumer bakshi,2nd Time,1,{2bhk},Goregaon,B,Crescent,Channel Partner,TrueNorth Properties,Ayesha Date,Advik Chandra,Gujarati,36-45,Under Construction,Yes,50L-75L,3,1044,"₹ 15,000,000.00",2nd Time,Self use,1
7/1/2025,Jul,7,1045,parinaaz sen,2nd Time,1,{2bhk},Matunga,B,Triangle,Channel Partner,Evolve Homes,Shanaya Shetty,Hansh Srivastava,Gujarati,25-35,Ready To Move,Yes,50L-75L,3,1045,"₹ 15,000,000.00",2nd Time,Self use,0
4/3/2025,Apr,4,1046,kanav som,2nd Time,1,{1bhk},Goregaon,C,Vasudha,Channel Partner,PrimeAxis Developments,Yakshit Balan,Vritika Bhakta,Gujarati,36-45,Under Construction,Yes,25L-50L,4,1046,"₹ 10,000,000.00",2nd Time,Self use,0
12/5/2025,Dec,12,1047,renee sridhar,2nd Time,1,{1bhk},Juhu,C,Woods,Channel Partner,Element Real Estate,Neysa Mallick,Vardaniya Thakur,Jain,25-35,Under Construction,No,25L-50L,2,1047,"₹ 10,000,000.00",1st Time,Investment,1
10/10/2025,Oct,10,1048,KRISH DHALIWAL,Fresh,1,{1bhk},Malad,A,Crescent,Channel Partner,Prime Ventures,Navya Kashyap,Vritika Bhakta,Marwardi,46-60,Ready To Move,Yes,0-25L,3,1048,"₹ 10,000,000.00",1st Time,Investment,0
10/27/2025,Oct,10,1049,SEHER AGRAWAL,Fresh,1,{2bhk},Kandivali,B,Triangle,Channel Partner,Infinity Realty,Umang Khare,Divit Sastry,Jain,25-35,Under Construction,Yes,1Cr>,2,1049,"₹ 15,000,000.00",2nd Time,Investment,0
3/18/2025,Mar,3,1050,ISHITA REGE,Fresh,1,{1bhk},Kandivali,C,Crescent,Channel Partner,Infinity Realty,Umang Khare,Indranil Rau,Jain,25-35,Ready To Move,Yes,25L-50L,3,1050,"₹ 10,000,000.00",1st Time,Investment,0
12/28/2025,Dec,12,1051,azad tak,Fresh,1,{2bhk},Santa Cruz,E,Triangle,Channel Partner,Zenith Real Estate,Sana Sarin,Hansh Srivastava,Hindu,25-35,Under Construction,No,75L-1Cr,1,1051,"₹ 15,000,000.00",2nd Time,Self use,0
4/1/2025,Apr,4,1052,ishita sami,Fresh,1,{2bhk},Goregaon,C,Crescent,Direct,Direct,Ayesha Date,Vritika Bhakta,Marwardi,46-60,Under Construction,Yes,1Cr>,2,1052,"₹ 15,000,000.00",1st Time,Self use,1
8/25/2025,Aug,8,1053,DHANUSH RAJAGOPAL,2nd Time,1,{1bhk},Goregaon,B,Crescent,Channel Partner,Integrity Developments,Mehul Gara,Indranil Rau,Hindu,61-90,Ready To Move,No,0-25L,4,1053,"₹ 10,000,000.00",1st Time,Investment,0
4/24/2025,Apr,4,1054,FAIYAZ RAVAL,2nd Time,1,{3bhk},Goregaon,A,Woods,Channel Partner,Sunset Holdings,Vaibhav Arora,Vritika Bhakta,Hindu,36-45,Ready To Move,Yes,25L-50L,3,1054,"₹ 20,000,000.00",1st Time,Investment,0
10/29/2025,Oct,10,1055,ehsaan khanna,Fresh,1,{2bhk},Lower Parel,E,Vasudha,Channel Partner,Prime Ventures,Yakshit Balan,Divit Sastry,Marwardi,36-45,Under Construction,Yes,25L-50L,2,1055,"₹ 15,000,000.00",2nd Time,Investment,0
12/7/2025,Dec,12,1056,divyansh deol,Fresh,1,{2bhk},Andheri,D,Woods,Channel Partner,Infinity Realty,Umang Khare,Urvi Wason,Gujarati,25-35,Under Construction,Yes,50L-75L,0,1056,"₹ 15,000,000.00",2nd Time,Self use,1
11/23/2025,Nov,11,1057,ronit ravi,Fresh,1,{1bhk},Goregaon,D,Vallia,Channel Partner,Element Real Estate,Damini Din,Urvi Wason,Marwardi,25-35,Under Construction,Yes,50L-75L,2,1057,"₹ 10,000,000.00",2nd Time,Investment,1
3/18/2025,Mar,3,1058,tiya venkataraman,2nd Time,1,{2bhk},Kandivali,B,Triangle,Channel Partner,Orion Developments,Vaibhav Arora,Vritika Bhakta,Gujarati,36-45,Under Construction,Yes,1Cr>,4,1058,"₹ 15,000,000.00",1st Time,Self use,0
8/18/2025,Aug,8,1059,RASHA DOSHI,2nd Time,1,{2bhk},Goregaon,B,Triangle,Channel Partner,Equinox Realty,Sana Rege,Vritika Bhakta,Gujarati,36-45,Under Construction,Yes,25L-50L,3,1059,"₹ 15,000,000.00",1st Time,Investment,0
10/22/2025,Oct,10,1060,MOHANLAL MANI,2nd Time,1,{1bhk},Churchgate,A,Triangle,Channel Partner,Apex Realty,Samar Comar,Vritika Bhakta,Jain,36-45,Under Construction,Yes,25L-50L,4,1060,"₹ 10,000,000.00",1st Time,Investment,0
7/25/2025,Jul,7,1061,alisha malhotra,2nd Time,1,{2bhk},Govandi,B,Woods,Channel Partner,Infinity Realty,Damini Din,Urvi Wason,Jain,36-45,Ready To Move,Yes,0-25L,3,1061,"₹ 15,000,000.00",1st Time,Self use,0
5/8/2025,May,5,1062,renee kalita,Fresh,1,{2bhk},Churchgate,A,Crescent,Channel Partner,Crescent Realty,Damini Din,Divit Sastry,Marwardi,25-35,Under Construction,Yes,0-25L,0,1062,"₹ 15,000,000.00",1st Time,Investment,1
4/21/2025,Apr,4,1063,PIHU GOEL,Fresh,1,{4bhk},Lower Parel,C,Woods,Channel Partner,Sapphire Holdings,Himmat Solanki,Vritika Bhakta,Gujarati,25-35,Under Construction,No,25L-50L,1,1063,"₹ 15,000,000.00",2nd Time,Self use,0
10/27/2025,Oct,10,1064,nayantara lad,2nd Time,1,{1bhk},Matunga,E,Triangle,Channel Partner,Opus Realty,Tushar Ray,Shray Amble,Marwardi,36-45,Ready To Move,Yes,25L-50L,4,1064,"₹ 10,000,000.00",1st Time,Self use,0
11/19/2025,Nov,11,1065,baiju chacko,Fresh,1,{2bhk},Bandra,C,Crescent,Direct,Direct,Neysa Mallick,Divit Sastry,Gujarati,36-45,Under Construction,Yes,1Cr>,4,1065,"₹ 15,000,000.00",2nd Time,Investment,1
10/9/2025,Oct,10,1066,renee deshpande,Fresh,1,{2bhk},Chunabhatti,B,Woods,Direct,Direct,Shray Sunder,Divit Sastry,Gujarati,46-60,Under Construction,Yes,25L-50L,3,1066,"₹ 15,000,000.00",1st Time,Self use,1
3/1/2025,Mar,3,1067,ivan wadhwa,Fresh,1,{2bhk},Malad,D,Crescent,Direct,Direct,Adira Tank,Hansh Srivastava,Hindu,36-45,Ready To Move,Yes,50L-75L,2,1067,"₹ 15,000,000.00",2nd Time,Investment,0
10/30/2025,?Oct?,10,1068,pranay sathe,Fresh,1,{1bhk},Borivali,E,Woods,Channel Partner,Vision Realty,Tushar Ray,Urvi Wason,Hindu,25-35,Under Construction,No,25L-50L,0,1068,"₹ 10,000,000.00",1st Time,Self use,0
9/9/2025,Sep,9,1069,anay bajwa,Fresh,1,{2bhk},Kandivali,B,Triangle,Channel Partner,TrueNorth Properties,Shanaya Shetty,Vritika Bhakta,Gujarati,46-60,Under Construction,Yes,25L-50L,4,1069,"₹ 15,000,000.00",1st Time,Investment,0
10/26/2025,Oct,10,1070,zeeshan kulkarni,2nd Time,1,{2bhk},Kandivali,E,Woods,Channel Partner,Fortune Realty,Damini Din,Urvi Wason,Marwardi,36-45,Ready To Move,Yes,1Cr>,2,1070,"₹ 15,000,000.00",2nd Time,Self use,1
8/16/2025,Aug,8,1071,aaina batra,2nd Time,1,{1bhk},Malad,C,Triangle,Channel Partner,UrbanRise Partners,Tiya Gour,Vritika Bhakta,Hindu,36-45,Under Construction,Yes,1Cr>,4,1071,"₹ 10,000,000.00",2nd Time,Investment,0
5/16/2025,May,5,1072,EHSAAN RAJAN,Fresh,1,{2bhk},Parel,A,Triangle,Channel Partner,Infinity Realty,Neysa Mallick,Vritika Bhakta,Hindu,36-45,Under Construction,Yes,25L-50L,3,1072,"₹ 15,000,000.00",1st Time,Investment,0
12/11/2025,Dec,12,1073,neelofar uppal,Fresh,1,{3bhk},Vashi,A,Vasudha,Channel Partner,MetroPeak Developments,Damini Din,Vritika Bhakta,Gujarati,36-45,Under Construction,Yes,0-25L,2,1073,"₹ 20,000,000.00",2nd Time,Self use,0
10/30/2025,Oct,10,1074,miraya chandra,2nd Time,1,{1bhk},Vashi,A,Vasudha,Direct,Direct,Ayesha Date,Shray Amble,Gujarati,36-45,Under Construction,Yes,0-25L,4,1074,"₹ 10,000,000.00",1st Time,Investment,0
10/9/2025,?Oct?,10,1075,himmat ravi,Fresh,1,{2bhk},Juhu,B,Crescent,Channel Partner,Aspire Realty,Tiya Gour,Indranil Rau,Marwardi,36-45,Under Construction,Yes,0-25L,2,1075,"₹ 15,000,000.00",1st Time,Investment,0
10/24/2025,Oct,10,1076,HRISHITA HAYER,Fresh,1,{1bhk},Kandivali,A,Woods,Direct,Direct,Jhanvi Madan,Divyansh Ramachandran,Gujarati,36-45,Under Construction,Yes,0-25L,3,1076,"₹ 10,000,000.00",1st Time,Self use,0
7/1/2025,Jun,6,1077,jayant vaidya,Fresh,1,{1bhk},Parel,D,Crescent,Direct,Direct,Jhanvi Madan,Advik Chandra,Gujarati,36-45,Ready To Move,Yes,25L-50L,4,1077,"₹ 10,000,000.00",1st Time,Investment,1
3/7/2025,Mar,3,1078,gatik swamy,Fresh,1,{1bhk},Vikhroli,A,Woods,Direct,Direct,Ahana Bhardwaj,Urvi Wason,Gujarati,46-60,Under Construction,Yes,0-25L,4,1078,"₹ 10,000,000.00",2nd Time,Self use,0
3/9/2025,Mar,3,1079,ADVIK SETHI,Fresh,1,{2bhk},Sion,B,Triangle,Channel Partner,Unity Homes,Shanaya Shetty,Divit Sastry,Gujarati,25-35,Under Construction,No,50L-75L,0,1079,"₹ 15,000,000.00",1st Time,Self use,0
3/9/2025,Mar,3,1080,RHEA BAJAJ,2nd Time,1,{1bhk},Lower Parel,B,Crescent,Channel Partner,FirstChoice Estates,Ayesha Date,Vritika Bhakta,Muslim,46-60,Under Construction,Yes,75L-1Cr,2,1080,"₹ 10,000,000.00",1st Time,Self use,0
5/1/2025,Apr,4,1081,HIRAN ZACHARIA,Fresh,1,{4bhk},Vikhroli,A,Triangle,Channel Partner,Skyline Builders,Jhanvi Madan,Divit Sastry,Hindu,36-45,Under Construction,Yes,50L-75L,2,1081,"₹ 15,000,000.00",1st Time,Self use,1
3/5/2025,Mar,3,1082,HANSH KOHLI,Fresh,1,{2bhk},Grant Road,D,Crescent,Channel Partner,Skyline Builders,Ayesha Date,Hansh Srivastava,Hindu,46-60,Under Construction,Yes,75L-1Cr,2,1082,"₹ 15,000,000.00",1st Time,Self use,0
11/30/2025,Nov,11,1083,DIVIJ BHATIA,Fresh,1,{2bhk},Malad,C,Vasudha,Channel Partner,NewWave Estates,Mehul Gara,Hansh Srivastava,Gujarati,36-45,Under Construction,Yes,75L-1Cr,3,1083,"₹ 15,000,000.00",1st Time,Self use,0
1/18/2025,Jan,1,1084,tiya randhawa,Fresh,1,{1bhk},Kandivali,E,Vasudha,Channel Partner,Vertex Land,Tiya Gour,Shray Amble,Gujarati,61-90,Under Construction,No,25L-50L,2,1084,"₹ 10,000,000.00",1st Time,Self use,0
3/21/2025,Mar,3,1085,anahita suresh,Fresh,1,{2bhk},Goregaon,C,Crescent,Direct,Direct,Shray Sunder,Urvi Wason,Muslim,46-60,Ready To Move,Yes,50L-75L,4,1085,"₹ 15,000,000.00",2nd Time,Self use,0
1/24/2025,Jan,1,1086,SUMER WALI,Fresh,1,{2bhk},Bhandup,D,Triangle,Channel Partner,CapitalCity Partners,Vidur Srinivasan,Urvi Wason,Christian,36-45,Under Construction,No,25L-50L,2,1086,"₹ 15,000,000.00",1st Time,Investment,0
11/9/2025,Nov,11,1087,SAMIHA BARIA,2nd Time,1,{2bhk},Borivali,B,Crescent,Channel Partner,OmniLand Partners,Vaibhav Arora,Divit Sastry,Marwardi,61-90,Under Construction,Yes,25L-50L,4,1087,"₹ 15,000,000.00",1st Time,Self use,0
10/20/2025,Oct,10,1088,nirvaan shere,Fresh,1,{1bhk},Kandivali,C,Woods,Channel Partner,Sunset Holdings,Damini Din,Hansh Srivastava,Marwardi,25-35,Under Construction,Yes,25L-50L,1,1088,"₹ 10,000,000.00",2nd Time,Self use,0
1/24/2025,Jan,1,1089,HUNAR GREWAL,Fresh,1,{2bhk},Vile Parle,C,Woods,Direct,Direct,Jhanvi Madan,Urvi Wason,Punjabi,36-45,Under Construction,No,50L-75L,2,1089,"₹ 15,000,000.00",2nd Time,Self use,0
5/8/2025,May,5,1090,tushar rama,Fresh,1,{2bhk},Malad,B,Woods,Channel Partner,NextGen Estates,Shanaya Shetty,Shray Amble,Marwardi,25-35,Under Construction,Yes,50L-75L,0,1090,"₹ 15,000,000.00",1st Time,Self use,0
10/30/2025,?Oct?,10,1091,indranil thakare,Fresh,1,{2bhk},Kandivali,B,Woods,Direct,Direct,Yakshit Balan,Vardaniya Thakur,Hindu,46-60,Ready To Move,Yes,75L-1Cr,4,1091,"₹ 15,000,000.00",2nd Time,Self use,1
7/1/2025,Jul,7,1092,shlok vohra,2nd Time,1,{2bhk},Vile Parle,C,Crescent,Direct,Direct,Vaibhav Arora,Indranil Rau,Hindu,46-60,Ready To Move,Yes,25L-50L,4,1092,"₹ 15,000,000.00",2nd Time,Investment,0
11/13/2025,Nov,11,1093,ANAHI SONI,2nd Time,1,{2bhk},Malad,C,Crescent,Channel Partner,UrbanRise Partners,Ayesha Date,Indranil Rau,Hindu,36-45,Under Construction,No,25L-50L,4,1093,"₹ 15,000,000.00",2nd Time,Self use,0
7/29/2025,Jul,7,1094,mohanlal dube,2nd Time,1,{2bhk},Colaba,B,Woods,Direct,Direct,Yakshit Balan,Vritika Bhakta,Marwardi,36-45,Under Construction,Yes,50L-75L,4,1094,"₹ 15,000,000.00",2nd Time,Self use,0
10/4/2025,Oct,10,1095,ishaan thakur,Fresh,1,{1bhk},Goregaon,B,Triangle,Channel Partner,Apex Realty,Sana Rege,Vritika Bhakta,Marwardi,25-35,Under Construction,No,75L-1Cr,2,1095,"₹ 10,000,000.00",2nd Time,Self use,0
11/14/2025,Nov,11,1096,biju apte,2nd Time,1,{2bhk},Kandivali,E,Crescent,Direct,Direct,Vidur Srinivasan,Vritika Bhakta,Christian,46-60,Under Construction,No,0-25L,3,1096,"₹ 15,000,000.00",2nd Time,Investment,0
6/21/2025,Jun,6,1097,RYAN BABU,Fresh,1,{2bhk},Lower Parel,C,Triangle,Direct,Direct,Neysa Mallick,Shray Amble,Christian,36-45,Ready To Move,Yes,75L-1Cr,3,1097,"₹ 15,000,000.00",1st Time,Self use,1
6/5/2025,Jun,6,1098,jhanvi soman,Fresh,1,{2bhk},Ghatkopar,A,Triangle,Channel Partner,Peak Property Group,Vaibhav Arora,Divyansh Ramachandran,Jain,36-45,Ready To Move,Yes,50L-75L,3,1098,"₹ 15,000,000.00",2nd Time,Self use,1
3/11/2025,Mar,3,1099,MANIKYA LOYAL,Fresh,1,{1bhk},Goregaon,C,Crescent,Direct,Direct,Shanaya Shetty,Urvi Wason,Hindu,25-35,Under Construction,No,75L-1Cr,2,1099,"₹ 10,000,000.00",1st Time,Self use,1
10/20/2025,Oct,10,1100,KEYA SRINIVAS,2nd Time,1,{1bhk},Kopar Khairane,B,Crescent,Channel Partner,Zenith Estates,Ayesha Date,Ishaan Balay,Marwardi,36-45,Under Construction,Yes,25L-50L,4,1100,"₹ 10,000,000.00",1st Time,Self use,0
